num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,0,0.40492307692307694,0.003907692307692307,0.0008130985480383071,1.5473748473748477,2.4615384615384617,1.3846153846153844,0.9999999999999998,0.9999999999999998,5.468307692307692,1265.8461538461538,0.6430867403829925,0.7233840357087202,0.0
500,0,0.7853333333333333,0.015129629629629628,0.0007869071476285904,2.9465151515151518,6.166666666666666,3.5,0.9999999999999999,0.9999999999999999,5.416,2315.333333333333,0.6408314056244502,0.7145092978141476,0.0
750,0,1.2386666666666666,0.027674327451778433,0.0008268802848242101,3.6812107065048245,9.0,4.75,1.0,1.0,5.486,3185.5,0.66553012304207,0.7344858570407331,0.0
1000,0,1.6853333333333333,0.03320258186258186,0.0008435101768435101,5.5156774793575245,14.666666666666668,7.333333333333334,1.0,1.0,5.505333333333333,3820.0,0.684197849710592,0.7484230333474787,0.0
1250,0,2.0831999999999997,0.048491891327063746,0.0008339471577261809,5.845663759676604,16.0,8.5,1.0,1.0,5.4656,4228.0,0.6322932232065404,0.7034922133081642,0.0
1500,0,2.4733333333333336,0.05989631578298247,0.00082499444073827,8.913625656255626,23.0,12.0,1.0,1.0,5.447333333333333,4461.0,0.6729253122793915,0.7374065328610784,0.0
1750,0,2.934857142857143,0.06809038566692012,0.0008390100465572164,6.421560480147738,19.0,10.0,1.0,1.0,5.545142857142857,4568.0,0.6542112704504139,0.7242990654205608,0.0
2000,0,3.11,0.08140196933447445,0.0007778889444722361,12.099555616796996,37.0,19.0,1.0,1.0,5.267,4314.0,0.6529265410564417,0.7202572347266881,0.0
2250,0,3.6462222222222223,0.10471052513100156,0.0008106318857763944,11.212283174037593,35.0,18.0,1.0,1.0,5.460444444444445,4082.0,0.6808766424540253,0.7459775719161384,0.0
2500,0,4.1232,0.10755645907944537,0.0008249699879951981,11.11443160645441,30.0,16.0,1.0,1.0,5.488,3412.0,0.6724616018894756,0.7365153279006597,0.0
2750,0,4.6196363636363635,0.11698699194274749,0.0008402394259069413,9.558911972585136,29.0,15.0,1.0,1.0,5.528727272727273,2500.0,0.6645122363548194,0.7311083123425692,0.0
3000,0,4.884,0.12703509104131006,0.000814271423807936,9.809287100904548,34.0,17.0,1.0,1.0,5.445333333333333,1684.0,0.6691411790775518,0.734097734097734,0.0
3250,0,5.367384615384616,0.13819957016079426,0.0008260056348699008,9.297315810204532,27.0,15.0,1.0,1.0,5.484307692307692,380.0,0.6709935746282107,0.7356110983719331,0.0
