num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity
250,24,1.6736818736818737,2.7692307692307696,1.4615384615384617,0.9999999999999998,0.9999999999999998
500,82,2.363552236397064,4.333333333333333,2.333333333333333,0.9999999999999999,0.9999999999999999
750,192,3.960294110016241,8.5,4.5,1.0,1.0
1000,402,6.507521907845708,18.333333333333336,9.333333333333332,1.0,1.0
1250,683,6.5912308527067065,18.5,9.5,1.0,1.0
1500,941,6.667468439274174,18.0,9.5,1.0,1.0
1750,1217,9.993840259357501,28.0,16.0,1.0,1.0
2000,1507,9.529875911717344,34.0,17.0,1.0,1.0
2250,2023,9.929120445084155,38.0,19.0,1.0,1.0
2500,2550,10.011416921508665,34.0,19.0,1.0,1.0
2750,3130,10.024390073721438,32.0,16.0,1.0,1.0
3000,3720,9.78097136445446,33.0,17.0,1.0,1.0
3250,4338,9.241463683742545,27.0,15.0,1.0,1.0
