num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
250,23,0.41230769230769226,0.0041418803418803414,0.0008279270929873338,1.7567321567321568,3.076923076923077,1.8461538461538456,0.9999999999999998,0.9999999999999998,2.735692307692308,580.8461538461538,0.6365215149294304,0.7202715832105463
500,110,0.8213333333333332,0.015189865689865693,0.0008229792919171677,2.469019684019684,4.666666666666667,2.5,0.9999999999999999,0.9999999999999999,2.7363333333333335,957.5000000000001,0.6576680950446113,0.7279516701635081
750,234,1.2493333333333334,0.027986531986531987,0.0008340008900756563,3.291720085470085,7.0,3.5,1.0,1.0,2.686,1077.5,0.6638006328051628,0.731537511336273
1000,363,1.5506666666666666,0.02934781144781145,0.0007761094427761095,5.367614346635749,14.0,7.0,1.0,1.0,2.731333333333333,1180.6666666666667,0.6741569285386451,0.7381393446641556
1250,631,2.0816,0.049481318547293776,0.000833306645316253,5.232709135341718,14.0,7.5,1.0,1.0,2.774,865.5,0.7009227862971064,0.760346051044303
1500,926,2.541333333333333,0.057668665941901245,0.0008476762285968423,9.451328493463173,29.5,15.0,1.0,1.0,2.742,301.0,0.6607119569507829,0.7275322872129413
1750,1267,2.896,0.06986163976079941,0.0008279016580903374,13.534029227557411,39.0,20.0,1.0,1.0,2.761142857142857,-236.0,0.6684625272541278,0.7387529597474349
2000,1576,3.152,0.07360064293049354,0.0007883941970985493,11.891961593025114,36.0,18.0,1.0,1.0,2.678,-948.0,0.6527949506448706,0.7176395939086294
2250,1971,3.504,0.08585990842222722,0.0007790128946198311,13.789035591274397,53.0,27.0,1.0,1.0,2.6555555555555554,-1909.0,0.6581950597787549,0.7234906139015728
2500,2618,4.1888,0.10367575130829883,0.000838095238095238,9.00900537928719,25.0,14.0,1.0,1.0,2.7528,-3590.0,0.6646605026955079,0.7322383498854087
2750,3070,4.465454545454546,0.11027478437680195,0.000812196170508284,9.733082352072493,29.0,15.0,1.0,1.0,2.7181818181818183,-4805.0,0.6836452346732957,0.7472312703583062
3000,3701,4.934666666666667,0.125884367171524,0.0008227186840057797,9.579845026700122,28.0,15.0,1.0,1.0,2.7403333333333335,-6583.0,0.6731135912901436,0.737908673331532
3250,4357,5.362461538461538,0.13820211839671076,0.000825248005303407,9.173748270383847,27.0,15.0,1.0,1.0,2.740307692307692,-8522.0,0.6685945206497111,0.7342207941243976
