num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,57,8.482933044433594e-05,0.0005093097686767578,5.729198455810547e-05,0.00017099380493164064,0.0004121541976928711,0.0002443075180053711,0.00015044212341308594,0.0016293287277221679
500,163,0.0001487255096435547,0.001407623291015625,0.00010266304016113282,0.0002599716186523437,0.0008146286010742187,0.00042076110839843754,0.00016765594482421876,0.0033220291137695318
750,330,0.00020273526509602863,0.0030503273010253906,0.00014511744181315103,0.00035587946573893226,0.0012040138244628906,0.0006496906280517578,0.00016760826110839844,0.005775372187296549
1000,744,0.0002554655075073242,0.006110668182373047,0.00019240379333496094,0.0004425048828125,0.0015938282012939453,0.001011967658996582,0.00018227100372314453,0.009789109230041504
1250,1140,0.0003209114074707031,0.008505582809448242,0.00023758411407470703,0.000507354736328125,0.001983642578125,0.0013347864151000977,0.0001983642578125,0.013088226318359375
1500,1592,0.0003669261932373047,0.012088775634765625,0.0002808570861816406,0.0005354881286621094,0.002362489700317383,0.0017430782318115234,0.00020194053649902344,0.01757955551147461
1750,2149,0.00041937828063964844,0.016356229782104492,0.000324249267578125,0.0005993843078613281,0.0028116703033447266,0.0022869110107421875,0.0002148151397705078,0.023012638092041016
2000,3037,0.0004894733428955078,0.02587270736694336,0.0003731250762939453,0.0006678104400634766,0.003183603286743164,0.002993345260620117,0.0002052783966064453,0.033785343170166016
2250,3728,0.0005521774291992188,0.033333539962768555,0.0004210472106933594,0.0007083415985107422,0.0036160945892333984,0.0035767555236816406,0.0002276897430419922,0.042435646057128906
2500,4523,0.000598907470703125,0.04170846939086914,0.00046753883361816406,0.0007624626159667969,0.0039713382720947266,0.004219532012939453,0.00023293495178222656,0.05196118354797363
