num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
250,57,0.776,0.014638095238095235,0.0015582329317269078,3.9068,782.7,0.7605539293172939,0.8059573710203445
500,163,1.3552000000000004,0.029791699762226082,0.0013579158316633267,3.8808000000000002,1262.8,0.7892285033071275,0.828159517741623
750,330,2.135111111111111,0.06119811503579618,0.0014253078178311823,3.924,1341.6666666666665,0.7730173603298209,0.8123390959347087
1000,744,3.142,0.10503654955058597,0.0015725725725725726,4.02,878.0,0.7703900982649186,0.8100483025835056
1250,1140,3.6096000000000004,0.1040304700390593,0.001444995996797438,3.8764,333.5,0.7602273023925812,0.8031126202603283
1500,1592,4.245333333333333,0.14126232793855964,0.001416055147876362,3.8766666666666665,-553.0,0.7614333836993971,0.803391959798995
1750,2149,4.912,0.15102953580341327,0.0014042309891366496,3.830857142857143,-1892.0,0.7527471293100928,0.7938576081898557
2000,3037,6.074,0.205253369441922,0.0015192596298149075,3.9905,-4167.0,0.7659570978276066,0.8050707935462628
2250,3728,6.627555555555555,0.21270502561144022,0.001473444987895855,3.932,-6065.0,0.776580078894557,0.8146459227467812
2500,4523,7.2368,0.23444764167665585,0.0014479391756702681,3.9104,-8316.0,0.7682073083318588,0.8078708821578598
