num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity
250,40,1.7173809523809525,2.7,1.6,0.9999999999999999,0.9999999999999999
500,220,4.230095095192896,10.399999999999999,5.4,1.0,1.0
750,340,6.043022124209302,15.333333333333332,8.0,1.0,1.0
1000,702,9.55959836237357,24.5,12.5,1.0,1.0
1250,1173,8.82788745710917,24.5,12.5,1.0,1.0
1500,1577,8.664042271894338,26.0,13.0,1.0,1.0
1750,1970,8.8666934991971,26.0,14.0,1.0,1.0
2000,2652,8.198036646327205,24.0,13.0,1.0,1.0
2250,3677,6.696211150316333,21.0,11.0,1.0,1.0
2500,4391,6.878561187406695,21.0,11.0,1.0,1.0
