num_nodes,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,7.635813492995044e-05,0.00025802086561154097,5.2589636582594656e-05,3.138872293325571e-05,1.4262321667793469e-05,1.15816409771259e-05,0.00014413625766069462,8.267011397924181e-05,0.0001913950993464543,0.0004040125088813978,0.0001370723430926983,0.003932323211278671,0.00533581085694142
500,0.00015382888989570815,0.0005862590594169421,9.824068118364383e-05,5.1528979570437716e-05,2.7143038236177886e-05,2.3383360642653246e-05,0.00025233244284605374,0.00013768978607960237,0.0003609535021659655,0.0008117113357935197,0.0002534634027725611,0.008043876061072718,0.010800410539675984
750,0.0002476160342876728,0.0010143610147329474,0.00013904388134296128,0.00010815033545860875,7.722927973820613e-05,7.214913001427283e-05,0.0005651895816509541,0.00029956377469576325,0.0005106559166541466,0.0012247287310086768,0.0003591592495258038,0.012632718453040492,0.017250565382150508
1000,0.00031121153580515007,0.0014864018088892887,0.00018299253363358346,0.00023957302695826484,0.00019851483796772204,0.00019167598925138777,0.001216813137656764,0.0006041275827508223,0.000633038972553454,0.0016165783530787416,0.0004678148972360712,0.02450048296075118,0.031649225636532434
1250,0.0004036585489908854,0.0020703792572021487,0.00022983551025390622,0.0009490966796875,0.0008754571278889972,0.0008740107218424479,0.004704093933105469,0.002231359481811523,0.0006948471069335936,0.002013556162516276,0.0006171544392903647,0.022182162602742514,0.037845611572265625
1500,0.0004371312948373648,0.0027025479536790112,0.00026823924137995794,0.001072535148033729,0.0009916012103740985,0.0009803038377028247,0.005475154289832483,0.0025800374838022082,0.0007894405951866737,0.0024065237778883716,0.0007460484137901893,0.03800096878638635,0.056450532032893255
1750,0.0005322586406360973,0.0034314719113436613,0.0003105293620716441,0.0028613263910466976,0.0027384974739768286,0.002736265009099787,0.02595249089327726,0.006498943675648082,0.0008795694871382279,0.0028106516057794747,0.0009184100411155009,0.03327020731839267,0.08294062180952592
2000,0.0005897151099310981,0.0042434268527560765,0.00035572052001953125,0.005387809541490343,0.005193233489990234,0.005186796188354492,0.02579151259528266,0.01192331314086914,0.0009728272755940756,0.0032117366790771484,0.001058287090725369,0.06775103674994574,0.1316654152340359
2250,0.0006742477416992188,0.005226999521255493,0.0004074275493621826,0.022813737392425537,0.02233487367630005,0.022339224815368652,0.10447141528129578,0.04796415567398071,0.0010564923286437988,0.003630727529525757,0.0013072192668914795,0.04427337646484375,0.2764998972415924
2500,0.0007186617170061384,0.0063053880419049945,0.00044628552028111055,0.04086698804582869,0.04003715515136719,0.040055343082972934,0.1958602155957903,0.10096883773803711,0.0011585439954485213,0.004019532884870257,0.0015371526990618023,0.050891569682529995,0.48286567415509907
2750,0.0007968289511544363,0.007327079772949219,0.00048259326389857706,0.09002372196742467,0.08852921213422502,0.08848275457109724,0.4205532414572579,0.18553836005074636,0.0012739726475306918,0.004452058247157506,0.0018077577863420758,0.05659416743687221,0.9458617482866559
3000,0.000841061274210612,0.008652925491333008,0.000526587168375651,0.11598114172617595,0.11410554250081381,0.11413590113321939,0.5334109465281168,0.2339687744776408,0.001349647839864095,0.004886428515116373,0.0020545323689778643,0.06423938274383545,1.1941528717676797
3250,0.0009145736694335938,0.010098179181416828,0.0005722840627034506,0.244036595026652,0.2398289442062378,0.2397306760152181,1.0863083203633626,0.4724061091740926,0.0014915863672892251,0.0052411556243896484,0.0023069381713867188,0.0704635779062907,2.373398939768473
3500,0.000977802276611328,0.011596107482910156,0.0006176948547363282,0.45173735618591304,0.44497041702270507,0.44492774009704594,2.0180333137512205,0.910493803024292,0.0016112804412841796,0.0057011604309082035,0.0025391578674316406,0.07894973754882814,4.372155570983886
3750,0.001054525375366211,0.013261222839355468,0.0006565093994140626,0.5955972194671632,0.5845425128936768,0.5858649730682373,2.638124561309814,1.1581439971923828,0.001741647720336914,0.006104278564453124,0.0028815269470214844,0.11276364326477051,5.700736618041992
4000,0.0011118054389953613,0.01482778787612915,0.0007033348083496094,0.7423362135887146,0.7332484126091003,0.7318227291107178,3.3998193740844727,1.4362539052963257,0.001827538013458252,0.006473362445831299,0.0031481385231018066,0.09511780738830566,7.166690409183502
4250,0.0011921525001525879,0.016611099243164062,0.0007480978965759277,0.9938933849334717,0.979093074798584,0.9709089994430542,4.404958486557007,1.918643057346344,0.0018944740295410156,0.006978034973144531,0.0034212470054626465,0.10293108224868774,9.40127319097519
4500,0.0012243986129760742,0.018602967262268066,0.000795900821685791,1.264174222946167,1.2461897730827332,1.2467936873435974,5.5694321393966675,2.442645490169525,0.002015411853790283,0.007359862327575684,0.0036954283714294434,0.11363786458969116,11.916567146778107
4750,0.0013228058815002441,0.02119314670562744,0.0008537769317626953,1.7784233689308167,1.7431825995445251,1.7418792843818665,7.637392997741699,3.284227132797241,0.00210493803024292,0.0077446699142456055,0.004038453102111816,0.12066590785980225,16.34302908182144
5000,0.00137480099995931,0.02292641003926595,0.0009013017018636069,2.1915129820505777,2.1622425715128584,2.1626199881235757,9.102167129516602,4.02700662612915,0.002077897389729818,0.008270581563313803,0.004488070805867513,0.130907932917277,19.81649629275004
5250,0.0014060338338216145,0.025579611460367843,0.0009421507517496746,2.7981629371643066,2.730348030726115,2.707474708557129,11.425195932388306,5.086419026056925,0.0021605491638183594,0.008556127548217773,0.004826227823893229,0.1370563507080078,24.92812768618266
5500,0.0014576117197672525,0.027361234029134117,0.0009510517120361328,3.171549161275228,3.0933993657430015,3.130507548650106,13.289162476857504,5.881266196568807,0.0021951993306477866,0.008942921956380207,0.00513466199239095,0.14714177449544272,28.75906920433044
5750,0.0015066464742024739,0.031020800272623696,0.0009948412577311196,4.280625025431315,4.221192677815755,4.222289244333903,18.129136641820274,7.943230628967285,0.0022966861724853516,0.009267568588256836,0.005504449208577474,0.20014715194702148,39.047212362289436
6000,0.0015789667765299478,0.032346645991007485,0.0010193188985188801,4.846649567286173,4.775287469228108,4.743700424830118,21.54256550470988,8.884064674377441,0.002369483311971029,0.00961915651957194,0.005802710851033529,0.1663219928741455,45.0113259156545
6250,0.001701196034749349,0.03638315200805664,0.0010972817738850913,5.810861984888713,5.697427590688069,5.692594687143961,25.10017450650533,10.6287469069163,0.002495288848876953,0.010309775670369465,0.006290912628173828,0.18051481246948242,53.16859809557597
6500,0.0017656485239664716,0.03977123896280925,0.0011719862620035808,6.5330454508463545,6.421222925186157,6.402808745702108,28.00663057963054,11.848039706548054,0.002615690231323242,0.010914325714111328,0.006755828857421875,0.3388785521189372,59.61362067858378
6750,0.0018881559371948242,0.04375958442687988,0.0012375116348266602,7.633332848548889,7.495954275131226,7.673230171203613,36.15897738933563,13.911799907684326,0.0027085542678833008,0.011465668678283691,0.007313847541809082,0.20661652088165283,73.14828443527222
7000,0.0020308494567871094,0.04824960231781006,0.0012809038162231445,9.448591232299805,9.338664650917053,9.286836862564087,42.7227281332016,17.172590494155884,0.002583146095275879,0.011980414390563965,0.007990360260009766,0.2201552391052246,88.26368188858032
7250,0.0021353960037231445,0.05376935005187988,0.0014322996139526367,11.265876173973083,11.086305022239685,11.026708006858826,51.44691777229309,19.85642957687378,0.002635955810546875,0.012422442436218262,0.00842893123626709,0.2326582670211792,104.99571919441223
