CMDLINE /home/nvidal/tfg/iGNNspector/.venv/bin/python3 ogbn-arxiv.py
MEM 1.199219 1620999036.6777
MEM 31.457031 1620999036.7781
MEM 49.292969 1620999036.8783
MEM 73.171875 1620999036.9785
MEM 100.074219 1620999037.0786
MEM 670.628906 1620999037.1788
MEM 959.535156 1620999037.2790
MEM 1032.199219 1620999037.3792
MEM 1048.968750 1620999037.4795
MEM 1048.968750 1620999037.5798
MEM 1048.968750 1620999037.6800
MEM 1048.968750 1620999037.7802
MEM 1048.968750 1620999037.8805
MEM 1048.968750 1620999037.9807
MEM 1048.968750 1620999038.0812
MEM 1058.035156 1620999038.1815
MEM 1060.593750 1620999038.2818
MEM 1069.898438 1620999038.3821
MEM 1087.207031 1620999038.4824
MEM 1107.859375 1620999038.5828
MEM 1148.917969 1620999038.6831
MEM 1172.031250 1620999038.7835
MEM 1195.687500 1620999038.8838
MEM 0.000000 1620999038.9841
MEM 0.000000 1620999039.0844
