num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,50,6.268574641301081e-05,0.0003534280336820162,5.2892244779146626e-05,5.553318903996394e-05,2.6666201077974758e-05,2.2264627309945917e-05,0.00025811562171349157,0.00013881463270920972,0.00015042378352238579,0.0004186263451209435,0.00019431114196777346,0.00010875555185171276,0.001842517119187575
500,198,0.00011928876241048177,0.0009506940841674805,9.711583455403645e-05,0.00023917357126871747,0.0001952648162841797,0.00018791357676188153,0.0012683471043904622,0.0006375710169474283,0.00022232532501220706,0.0008234580357869465,0.0003236134847005208,0.00010704994201660158,0.005171815554300943
750,530,0.00017207860946655273,0.001927196979522705,0.00014072656631469727,0.0011605620384216309,0.0010696649551391602,0.00106126070022583,0.005968689918518066,0.0027915239334106445,0.0002993941307067871,0.001230001449584961,0.000493466854095459,0.0001093745231628418,0.016423940658569336
1000,846,0.00022967656453450524,0.003286600112915039,0.00018747647603352863,0.006971915562947591,0.00670154889424642,0.006701389948527018,0.07050069173177084,0.01560680071512858,0.00036636988321940106,0.0016446908315022788,0.0007490317026774088,0.00011452039082845053,0.11306071281433107
1250,1300,0.0002881288528442383,0.004865884780883789,0.0002301931381225586,0.014065861701965332,0.013661026954650879,0.013709664344787598,0.06717300415039062,0.029941558837890625,0.0004436969757080078,0.0020645856857299805,0.0009500980377197266,0.00011920928955078125,0.14751291275024414
1500,1694,0.0003364086151123047,0.006930708885192871,0.0002664327621459961,0.06880927085876465,0.06732070446014404,0.06740117073059082,0.3485283851623535,0.15986931324005127,0.0005269050598144531,0.002490520477294922,0.0013186931610107422,0.00012612342834472656,0.7239246368408203
1750,2568,0.00039887428283691406,0.009478330612182617,0.0003097057342529297,0.09192824363708496,0.09025359153747559,0.08966612815856934,0.43442845344543457,0.19271302223205566,0.0005209445953369141,0.002810239791870117,0.0015599727630615234,0.000133514404296875,0.914201021194458
2000,3110,0.00045871734619140625,0.011470794677734375,0.0003552436828613281,0.29089808464050293,0.2858407497406006,0.28609704971313477,1.4059717655181885,0.7298181056976318,0.0005259513854980469,0.003189563751220703,0.002033710479736328,0.0001404285430908203,3.0168001651763916
2250,4102,0.0005075931549072266,0.01616692543029785,0.0003972053527832031,0.5737199783325195,0.5620338916778564,0.5615768432617188,2.8752830028533936,1.216029405593872,0.0006277561187744141,0.0036115646362304688,0.002409696578979492,0.00014901161193847656,5.8125128746032715
2500,5154,0.0005636215209960938,0.019190311431884766,0.00044083595275878906,0.9593753814697266,0.9392666816711426,0.9377892017364502,4.783891677856445,2.0596556663513184,0.0006811618804931641,0.004019975662231445,0.002931833267211914,0.0001621246337890625,9.707968473434448
2750,6352,0.00061798095703125,0.02510213851928711,0.000484466552734375,1.481400489807129,1.4527697563171387,1.4553675651550293,7.400996446609497,3.048403263092041,0.0007443428039550781,0.004431247711181641,0.003481149673461914,0.0001728534698486328,14.873971700668335
3000,7326,0.00067901611328125,0.029446125030517578,0.0005273818969726562,2.0398950576782227,2.001772403717041,2.0035343170166016,9.42415475845337,4.153008222579956,0.0008027553558349609,0.004837989807128906,0.0039484500885009766,0.00018095970153808594,19.662787437438965
3250,8722,0.0007443428039550781,0.03513360023498535,0.000568389892578125,2.917904853820801,2.870979070663452,2.8733084201812744,13.388314485549927,5.947290897369385,0.00086212158203125,0.005213737487792969,0.0045549869537353516,0.0001964569091796875,28.045071363449097
250,23,7.454554239908855e-05,0.0003818670908610026,5.698204040527344e-05,0.00010005633036295573,5.865097045898438e-05,5.412101745605468e-05,0.00047024091084798175,0.00023969014485677084,0.00015401840209960938,0.00042629241943359375,0.0001992384592692057,0.00015115737915039062,0.002366860707600911
500,82,0.00015592575073242188,0.0018688042958577473,0.00010323524475097656,0.00026098887125651043,0.0002025763193766276,0.00019542376200358072,0.001268148422241211,0.0006415049235026041,0.00024127960205078125,0.0008246103922526042,0.00033243497212727863,0.00013939539591471353,0.006234327952067057
750,239,0.00020956993103027344,0.0019078254699707031,0.0001468658447265625,0.001275459925333659,0.0011727015177408855,0.0011595090230305989,0.00660419464111328,0.003194014231363932,0.00032265981038411457,0.0012297630310058594,0.0005489985148111979,0.00014527638753255207,0.017916838328043617
1000,394,0.0002739429473876953,0.0032165050506591797,0.00019129117329915363,0.00445254643758138,0.004256248474121094,0.004248460133870442,0.06401594479878743,0.010140736897786459,0.00039760271708170575,0.0016495386759440103,0.0007832050323486328,0.00014654795328776043,0.09377257029215495
1250,285,0.0002949237823486328,0.003960371017456055,0.00020972887674967447,0.01132973035176595,0.010953187942504883,0.010951836903889975,0.05712437629699707,0.024507284164428714,0.00043972333272298175,0.0018533070882161458,0.0009516874949137369,0.00014909108479817707,0.12272524833679199
1500,38,0.0002930959065755208,0.004495700200398764,0.0002056757609049479,0.030878305435180664,0.030087073644002277,0.030121644337972004,0.1460757255554199,0.06574209531148274,0.00043487548828125005,0.001829067866007487,0.0009926954905192056,0.00015854835510253906,0.31131450335184735
