num_nodes,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,0.28096831761873686,0.0003808828500600962,5.48546130840595e-05,5.500133220966046e-05,3.0370858999399042e-05,2.7363116924579325e-05,0.0002721089583176833,0.00014464671795184797,0.00015064386221078728,0.0004273011134221003,0.00019060648404634916,0.025613069534301758,0.3083151670602652
500,0.5599784056345621,0.0010358492533365884,9.99768575032552e-05,0.000306089719136556,0.0002632538477579752,0.0002565781275431315,0.0015876293182373047,0.0007880528767903645,0.00021743774414062503,0.0008424917856852213,0.00032226244608561194,0.05075359344482422,0.6164516210556029
750,0.8401766419410706,0.0019799470901489258,0.00014597177505493164,0.0008306503295898438,0.0007613897323608398,0.0007560849189758301,0.004249274730682373,0.0020503997802734375,0.00030094385147094727,0.0012543201446533203,0.0004886984825134277,0.07625937461853027,0.9292536973953247
1000,1.1298983097076416,0.003197590510050456,0.00018970171610514325,0.004619995752970378,0.004414955774943033,0.0044027964274088545,0.021904548009236652,0.010294278462727865,0.0003573894500732422,0.0016750494639078775,0.0006792545318603516,0.10240999857584634,1.2840438683827722
1250,1.4261454343795776,0.004525184631347656,0.00023889541625976562,0.012618422508239746,0.012215375900268555,0.012202024459838867,0.05649447441101074,0.026070713996887207,0.0004469156265258789,0.0020977258682250977,0.0009148120880126953,0.13242745399475098,1.6863974332809448
1500,1.6973375082015991,0.007225513458251953,0.0002728700637817383,0.05578434467315674,0.05448722839355469,0.05431044101715088,0.27181458473205566,0.12098360061645508,0.0004875659942626953,0.002507328987121582,0.0013030767440795898,0.15392351150512695,2.4204375743865967
1750,2.0008347034454346,0.0090484619140625,0.0003230571746826172,0.1402294635772705,0.13751578330993652,0.13772130012512207,0.6570956707000732,0.29947543144226074,0.0005259513854980469,0.0028944015502929688,0.00157928466796875,0.18080472946166992,3.5680482387542725
2000,2.287203788757324,0.012657642364501953,0.0003609657287597656,0.29174160957336426,0.28517866134643555,0.28541135787963867,1.4117791652679443,0.6001155376434326,0.0005471706390380859,0.003299236297607422,0.002115011215209961,0.21192240715026855,5.392332553863525
2250,2.545208215713501,0.015294551849365234,0.00041174888610839844,0.5636475086212158,0.5501861572265625,0.5491294860839844,2.904073476791382,1.2751643657684326,0.0006403923034667969,0.003720521926879883,0.002387523651123047,0.2356581687927246,8.645522117614746
2500,2.894871234893799,0.020631074905395508,0.00044727325439453125,1.036879301071167,1.0137794017791748,1.0154697895050049,4.66164493560791,2.132990598678589,0.0006823539733886719,0.004171609878540039,0.0030074119567871094,0.26677536964416504,13.051350355148315
2750,3.1853983402252197,0.024256229400634766,0.0004973411560058594,1.418116807937622,1.3913543224334717,1.3919730186462402,6.873552560806274,2.8857007026672363,0.0007486343383789062,0.00453948974609375,0.0034685134887695312,0.2974891662597656,17.477095127105713
3000,3.480315923690796,0.030485153198242188,0.0005519390106201172,1.9470653533935547,1.9039947986602783,1.90621018409729,9.166996002197266,4.106493711471558,0.0007944107055664062,0.0048923492431640625,0.0040111541748046875,0.32063913345336914,22.87245011329651
3250,3.7647206783294678,0.03639674186706543,0.0005726814270019531,2.7627182006835938,2.7051401138305664,2.707181692123413,13.005293369293213,5.636723279953003,0.0008769035339355469,0.00538325309753418,0.004530668258666992,0.3485984802246094,30.97813606262207
