num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,22,7.449663602388822e-05,0.0003566558544452374,5.5698248056265024e-05,0.00015411010155311,0.0004138396336482122,0.00020069342393141528,0.00013432135948768028,0.001389815257145808
500,96,0.00015401840209960938,0.0010010004043579102,0.00010255972544352214,0.0002411206563313802,0.0008120934168497721,0.0003470182418823242,0.00013494491577148438,0.0027927557627360025
750,250,0.00019407272338867188,0.0019934773445129395,0.00014293193817138672,0.00032258033752441406,0.0012001395225524902,0.0005120635032653809,0.00013816356658935547,0.004503428936004639
1000,463,0.0002718766530354818,0.0031636555989583335,0.00019280115763346353,0.000408331553141276,0.0016069412231445312,0.0007153352101643881,0.00015020370483398438,0.006509145100911458
1250,700,0.0003050565719604492,0.004885554313659668,0.0002359151840209961,0.00047707557678222656,0.002010345458984375,0.0009737014770507812,0.00015044212341308594,0.009038090705871582
1500,931,0.00036394596099853516,0.006935000419616699,0.0002726316452026367,0.0005469322204589844,0.0024050474166870117,0.0012432336807250977,0.00015652179718017578,0.01192331314086914
1750,1226,0.0004096031188964844,0.008892536163330078,0.00031495094299316406,0.0005817413330078125,0.002744436264038086,0.0015070438385009766,0.00016760826110839844,0.014617919921875
2000,1577,0.0004718303680419922,0.011541366577148438,0.0003592967987060547,0.0006208419799804688,0.0031774044036865234,0.0018553733825683594,0.00019693374633789062,0.018223047256469727
2250,2054,0.000522613525390625,0.015384674072265625,0.00039458274841308594,0.00067901611328125,0.003531217575073242,0.002247333526611328,0.00017786026000976562,0.022937297821044922
2500,2522,0.0005846023559570312,0.0187990665435791,0.0004425048828125,0.0007424354553222656,0.003939390182495117,0.0026216506958007812,0.00019359588623046875,0.027323246002197266
2750,3151,0.0006337165832519531,0.024995803833007812,0.0004837512969970703,0.0007712841033935547,0.004301309585571289,0.003168344497680664,0.000202178955078125,0.03455638885498047
3000,3746,0.0006928443908691406,0.030230283737182617,0.0005323886871337891,0.0008518695831298828,0.0046994686126708984,0.0036160945892333984,0.0002124309539794922,0.04083538055419922
3250,4387,0.0007519721984863281,0.03622269630432129,0.0005710124969482422,0.0009109973907470703,0.005095243453979492,0.004172325134277344,0.0002281665802001953,0.04795241355895996
