num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,total
250,24,7.323118356557994e-05,3.508421090932993e-05,3.016912020169772e-05,0.00031674825228177587,0.00016788335946890022,0.0006231161264272837
500,82,0.00024779637654622394,0.00019311904907226562,0.00018501281738281247,0.0012665987014770506,0.0006464719772338867,0.0025389989217122393
750,192,0.0007154345512390137,0.0006397366523742676,0.0006251335144042969,0.0035562515258789062,0.0017043352127075195,0.007240891456604004
1000,402,0.006334225336710612,0.006037553151448567,0.006032466888427734,0.03164362907409668,0.014404694239298504,0.0644525686899821
1250,683,0.020117640495300293,0.019375205039978027,0.019407153129577637,0.09662151336669922,0.04261672496795654,0.19813823699951172
1500,941,0.029879212379455566,0.02890610694885254,0.028808236122131348,0.14216077327728271,0.062165141105651855,0.291919469833374
1750,1217,0.048837900161743164,0.04731941223144531,0.047467947006225586,0.37301039695739746,0.10128951072692871,0.6179251670837402
2000,1507,0.1497960090637207,0.14638495445251465,0.14640450477600098,0.6907243728637695,0.3055555820465088,1.4388654232025146
2250,2023,0.5758726596832275,0.5642292499542236,0.5653479099273682,2.552809476852417,1.30061674118042,5.558876037597656
2500,2550,0.8360121250152588,0.8201279640197754,0.8213114738464355,3.830817461013794,1.7356665134429932,8.043935537338257
2750,3130,1.4279870986938477,1.408569574356079,1.4069297313690186,6.799981117248535,2.881462812423706,13.924930334091187
3000,3720,2.117877244949341,2.0765388011932373,2.076772689819336,9.636725187301636,4.26789116859436,20.17580509185791
3250,4338,2.8384764194488525,2.775977849960327,2.779653549194336,13.297182083129883,5.817559242248535,27.508849143981934
