num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
250,22,0.38153846153846155,0.008,0.0007661414890330553,2.7446153846153845,590.7692307692307,0.6592682443076566,0.7382309254989086
500,96,0.8026666666666668,0.00935177045177045,0.0008042752171008684,2.7283333333333335,962.8333333333334,0.6569785862209189,0.7337123240999579
750,250,1.2693333333333332,0.02603301308827624,0.0008473520249221184,2.7409999999999997,1103.75,0.6505491024058488,0.7245808158263072
1000,463,1.62,0.0345369592281357,0.0008108108108108108,2.7343333333333333,1114.3333333333335,0.6526126701582387,0.7214064178659951
1250,700,2.0896,0.05448771086039164,0.0008365092073658927,2.7316000000000003,802.5,0.655324023438306,0.7217680339462518
1500,931,2.48,0.044640037175873094,0.0008272181454302869,2.73,375.0,0.6833738033355006,0.7500083824816539
1750,1226,2.8022857142857145,0.07776883124258542,0.0008011108388466879,2.6982857142857144,-182.0,0.6579684354491645,0.7243066884176182
2000,1577,3.154,0.07891877769857307,0.0007888944472236118,2.678,-952.0,0.6445477503637836,0.7127457197209892
2250,2054,3.6515555555555554,0.09397107246264244,0.0008118175979447656,2.7222222222222223,-2091.0,0.6812803826204678,0.7419668938656281
2500,2522,4.0352,0.10805721237825128,0.0008073629451780713,2.7208,-3286.0,0.6765851533093277,0.7383029341792229
2750,3151,4.583272727272727,0.12188137287927829,0.0008336254505770693,2.7523636363636363,-5035.0,0.6872919585724702,0.7499206601079023
3000,3746,4.994666666666666,0.1262224173283276,0.0008327220184505946,2.754,-6722.0,0.6627999803957201,0.7298451681793914
3250,4387,5.399384615384616,0.13935253446823517,0.0008309302270521107,2.7495384615384615,-8612.0,0.6701950112014916,0.7355824025529974
