num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,23,7.741267864520733e-05,0.00037503242492675776,5.6046705979567305e-05,7.504683274489183e-05,3.83303715632512e-05,3.3873778123122e-05,0.0003392879779522235,0.00018009772667518028,0.0001523311321551983,0.00041576532217172475,0.00019293565016526444,0.00013336768517127403,0.002069528286273663
500,110,0.0001590251922607422,0.0010147492090861003,0.00010323524475097655,0.0002369085947672526,0.00018338362375895184,0.00017686684926350912,0.0012153387069702148,0.0006137688954671223,0.00024012724558512372,0.0008179744084676108,0.0003410975138346354,0.00013605753580729166,0.005238533020019533
750,234,0.00020927190780639648,0.0019202828407287598,0.00014591217041015625,0.0006982088088989258,0.0006256699562072754,0.0006188750267028809,0.003644585609436035,0.0017217397689819336,0.0003203153610229492,0.001212000846862793,0.0005182027816772461,0.0001404285430908203,0.011775493621826172
1000,363,0.00027259190877278644,0.003044684727986654,0.00019319852193196613,0.004220644632975261,0.004015207290649414,0.004010359446207683,0.02064673105875651,0.009478886922200521,0.00041453043619791663,0.0016535917917887373,0.0007679462432861328,0.0001484553019205729,0.04886682828267415
1250,631,0.0003056526184082031,0.004903554916381836,0.00023949146270751953,0.010451912879943848,0.010066866874694824,0.010104656219482422,0.05091381072998047,0.023238420486450195,0.00048482418060302734,0.002081155776977539,0.0010787248611450195,0.0001518726348876953,0.1140209436416626
1500,926,0.0003699064254760742,0.007032275199890137,0.0002759695053100586,0.05737888813018799,0.05624794960021973,0.05620777606964111,0.2870442867279053,0.12553107738494873,0.0005551576614379883,0.002485036849975586,0.0014603137969970703,0.0001634359359741211,0.5947520732879639
1750,1267,0.00043201446533203125,0.009545326232910156,0.0003407001495361328,0.16549062728881836,0.16087079048156738,0.16087985038757324,0.7592518329620361,0.368319034576416,0.0005719661712646484,0.0029184818267822266,0.001844167709350586,0.0001842975616455078,1.6306490898132324
2000,1576,0.00047969818115234375,0.011411428451538086,0.00036644935607910156,0.35428738594055176,0.2974064350128174,0.2867884635925293,1.7206592559814453,0.6339712142944336,0.000637054443359375,0.0033173561096191406,0.002145051956176758,0.00017595291137695312,3.311645746231079
2250,1971,0.0005404949188232422,0.01411128044128418,0.0004074573516845703,0.5296504497528076,0.5186574459075928,0.5191035270690918,2.4118494987487793,1.0757904052734375,0.0006885528564453125,0.0037534236907958984,0.0024962425231933594,0.00018405914306640625,5.077232837677002
2500,2618,0.0005862712860107422,0.020496606826782227,0.0004496574401855469,0.9423408508300781,0.923947811126709,0.9251751899719238,5.044413089752197,1.975886583328247,0.0007555484771728516,0.0041310787200927734,0.0031156539916992188,0.00019741058349609375,9.841495752334595
2750,3070,0.00064849853515625,0.02383279800415039,0.0005033016204833984,1.365851640701294,1.3399527072906494,1.339864730834961,6.318832635879517,2.7035741806030273,0.0008051395416259766,0.004611968994140625,0.0036873817443847656,0.00020647048950195312,13.102371454238892
3000,3701,0.0007178783416748047,0.029679059982299805,0.0005574226379394531,2.08113694190979,2.0380020141601562,2.0419862270355225,11.774636507034302,4.606989145278931,0.0008993148803710938,0.005102872848510742,0.004328012466430664,0.00023555755615234375,22.58427095413208
3250,4357,0.0007867813110351562,0.03588509559631348,0.0005922317504882812,2.753469467163086,2.698486328125,2.7006568908691406,12.633499383926392,5.507702827453613,0.0009329319000244141,0.00549769401550293,0.004885673522949219,0.00024390220642089844,26.342639207839966
