num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,total
250,40,9.870529174804689e-05,5.867481231689453e-05,5.338191986083984e-05,0.0004754066467285157,0.00024898052215576176,0.0009351491928100586
500,220,0.002489614486694336,0.002366304397583008,0.0023540496826171876,0.012417030334472657,0.005738496780395508,0.025365495681762697
750,340,0.016153415044148765,0.015621264775594076,0.015597105026245117,0.07813779513041179,0.03342620531717936,0.1589357852935791
1000,702,0.06222236156463623,0.060552000999450684,0.06062901020050049,0.3086228370666504,0.13029801845550537,0.6223242282867432
1250,1173,0.3033623695373535,0.29705095291137695,0.2973787784576416,1.4055901765823364,0.5816593170166016,2.88504159450531
1500,1577,0.657505989074707,0.6447019577026367,0.6452202796936035,2.910231351852417,1.2849640846252441,6.142623662948608
1750,1970,1.062875747680664,1.0390450954437256,1.0404832363128662,4.930001258850098,1.993128776550293,10.065534114837646
2000,2652,1.6744368076324463,1.6403732299804688,1.6407771110534668,8.313330173492432,3.2104125022888184,16.479329824447632
2250,3677,2.6055381298065186,2.5234479904174805,2.5262908935546875,13.22339653968811,5.431236028671265,26.30990958213806
2500,4391,4.043588876724243,4.18828558921814,4.284377098083496,22.230386972427368,7.239522695541382,41.98616123199463
