num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
250,8,6.278661581186148e-05,0.00024811426798502617,5.009541144737831e-05,3.470518650152745e-05,1.5631700173402452e-05,1.2449729136931588e-05,0.00016119541266025638,9.15221678904998e-05,0.0001469300343440129,0.0004187272145197942,0.00015670213943872694,5.954962510329029e-05,0.0014584095050127078
500,58,0.00011837176787547577,0.0005567073822021484,9.687130267803486e-05,6.214166298890726e-05,3.5836146428034845e-05,3.0743770110301484e-05,0.00031160696958884213,0.00016781611320299978,0.00035200974880120705,0.000831738496438051,0.0002650908934764372,9.444432380871894e-05,0.002923378577599159
750,148,0.0001671130840594952,0.0009553340765146105,0.0001415564463688777,0.00010940661797156703,7.687165186955378e-05,7.12137955885667e-05,0.0005908012390136719,0.00030747743753286504,0.0005158827855036808,0.0012460671938382664,0.00036677947411170364,0.00010446401742788462,0.004652967819800743
1000,186,0.00022179202029579562,0.001431377310501902,0.00018777345356188322,0.0002437767229582134,0.00020182760138260693,0.0001938217564633018,0.0013650718488191305,0.000673708162809673,0.0006406683670847039,0.0016569840280633223,0.00048737776906866785,0.00010706249036287007,0.007411241531372071
1250,280,0.0002785205841064453,0.0019553025563557947,0.0002358436584472656,0.0005654176076253256,0.0005054950714111328,0.0004986921946207682,0.0029724915822347,0.0014358202616373697,0.0007031917572021485,0.002063083648681641,0.0006188710530598958,0.00010935465494791667,0.011942084630330405
1500,554,0.0003283940828763521,0.0025657873887282153,0.000276638911320613,0.0011753302354079026,0.0010927457075852614,0.0010849695939284104,0.006198112781231221,0.0030053395491379956,0.000796813231248122,0.0024712085723876953,0.0007558052356426534,0.00011029610267052283,0.019861441392164964
1750,676,0.00038543614474209875,0.003354592756791548,0.00032440098849209875,0.0026554627852006392,0.002533695914528587,0.0025235739621249113,0.014384031295776367,0.006496559489857066,0.000869144092906605,0.0028954419222745028,0.0009369633414528587,0.00011437589471990412,0.03747367858886719
2000,900,0.0004477500915527344,0.004219028684828016,0.0003702375623914931,0.012956937154134115,0.012641774283515081,0.012638674841986762,0.06782653596666124,0.04435812102423774,0.0009529060787624784,0.0033189985487196184,0.0011396672990587023,0.00011475880940755207,0.16098539034525552
2250,1106,0.0005075037479400635,0.0051583945751190186,0.0004169642925262451,0.021970480680465698,0.02144762873649597,0.021476030349731445,0.10225003957748413,0.06372135877609253,0.0010395646095275879,0.003729790449142456,0.0013759136199951172,0.0001176297664642334,0.2432112991809845
2500,1594,0.0005677768162318639,0.006336280277797155,0.00046753883361816406,0.05958305086408342,0.058413914271763394,0.058469227382114956,0.3085314205714635,0.14904015404837473,0.0011364051273890902,0.004156623567853655,0.0016693387712751117,0.00012425013950892856,0.6484959806714738
2750,1764,0.0006164142063685826,0.007422719682965959,0.0004987376076834542,0.06540427889142718,0.06417744500296456,0.06424880027770996,0.3090721879686628,0.13666023526872909,0.0012153897966657367,0.004593849182128905,0.0018650463649204797,0.00012452261788504465,0.6558996268681117
3000,1844,0.0006799300511678059,0.008525212605794271,0.0005491971969604492,0.1318877935409546,0.12949963410695395,0.12964975833892822,0.6484966675440471,0.2753396431605021,0.0013194084167480469,0.005031426747639974,0.0021412769953409834,0.00013097127278645832,1.333250919977824
3250,2470,0.0007408062616984049,0.010275046030680338,0.000591278076171875,0.2688743273417155,0.2640977700551351,0.26428953806559247,1.234813133875529,0.539724628130595,0.0014567772547403972,0.005478620529174805,0.0024602413177490234,0.00013208389282226562,2.5929342508316044
3500,2580,0.0007997989654541014,0.011424016952514649,0.0006427764892578125,0.3939240455627442,0.38600292205810544,0.38626632690429685,1.803852844238281,0.8155878067016602,0.0015227794647216797,0.005874538421630859,0.002675390243530273,0.00013523101806640626,3.8087084770202635
3750,3132,0.0008632183074951172,0.013198232650756836,0.0006940364837646484,0.542790699005127,0.5334211349487306,0.5342861652374268,2.4736371517181395,1.0932534694671632,0.001659059524536133,0.006371879577636718,0.0029897212982177737,0.0001415252685546875,5.203306293487549
4000,3608,0.0009327530860900879,0.014726758003234863,0.0007374882698059082,0.7311924695968628,0.7198724150657654,0.7188562750816345,3.359524190425873,1.4910109639167786,0.001754462718963623,0.006770610809326172,0.0032628774642944336,0.00014442205429077148,7.04878568649292
