num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
500,8,1.5010495157636833e-06,1.6398683807553625e-05,1.2675685995429224e-06,5.68536611703726e-07,2.885005883211215e-07,2.3136477498613167e-07,2.043487052240315e-06,1.17093148316152e-06,4.089795626126803e-06,1.2485938664724134e-05,4.080625680776743e-06,1.3225882716432832e-06,4.544907067654401e-05
625,15,2.3259056939019095e-06,2.5073687235514324e-05,1.965628729926215e-06,1.4976218894675924e-06,1.0817139237015336e-06,9.881125556098091e-07,6.972418891059028e-06,2.4044955218279804e-06,7.384794729727286e-06,1.9319852193196614e-05,6.225374009874133e-06,1.4808442857530382e-06,7.672044965955946e-05
781,25,3.5829014248318144e-06,3.9718769214771416e-05,2.9857511873598454e-06,4.112720489501953e-06,3.416229177404333e-06,3.322407051368996e-06,2.4707229049117478e-05,1.1693548273157189e-05,1.3277486518577294e-05,3.0017561382717555e-05,9.632772869533963e-06,1.8720273618344906e-06,0.00014833940400017635
976,64,5.524971581607885e-06,6.187168848996906e-05,4.669145352578577e-06,4.212980325511425e-06,3.419170489890038e-06,3.2069366102273756e-06,2.2498169386317964e-05,1.1350378135725253e-05,2.2516085233302474e-05,4.712419013756549e-05,1.4238963926458636e-05,2.429664479514767e-06,0.00020306234414866896
1220,61,9.452087291772814e-06,0.0001047210416932037,7.968018020408742e-06,7.318413775900137e-06,6.167784981105639e-06,5.917272705962692e-06,3.649877465289572e-05,1.6476797020953633e-05,3.752501114555027e-05,7.725280264149542e-05,2.3306279942609262e-05,3.2480212225430254e-06,0.000335852305094401
1525,81,1.4086027403135559e-05,0.0001576720057307063,1.1588002110386754e-05,7.942990139798002e-06,6.566176543364654e-06,6.32561004913605e-06,3.939920717531496e-05,1.8807144852371903e-05,5.783476271070876e-05,0.00011661031224706152,3.732432116259326e-05,3.859803483292863e-06,0.0004780163636078706
1906,110,2.1763823249123313e-05,0.0002467009154233066,1.7648393457586117e-05,8.997592059048739e-05,8.589029312133789e-05,8.541616526517001e-05,0.0004462383010170676,0.00017903338779102674,8.975104852156205e-05,0.00017917156219482422,5.9989365664395415e-05,4.9390576102516866e-06,0.0015065182339061391
2382,279,3.4006548599458076e-05,0.0003938036905208104,2.762633310237401e-05,0.00018296443240743286,0.0001758286650751678,0.00017533503787618286,0.0009054298132238254,0.00032192216792576746,0.000136069848503865,0.0002794534387722821,0.0001017946592518981,6.72609033718915e-06,0.002740960725596253
2977,338,5.369952746800014e-05,0.0006352875913892474,4.281742232186454e-05,0.0010318074907575336,0.0009989738464355469,0.0009992633547101703,0.00939364092690604,0.0016793778964451383,0.0002125927380153111,0.0004464047295706612,0.0001717039516993931,8.259500776018416e-06,0.015673828976494924
3721,537,9.018580118815104e-05,0.0010640621185302734,6.736649407280817e-05,0.004648076163397895,0.0045396063062879775,0.004540056652492947,0.0214673466152615,0.006779299841986762,0.00032902293735080293,0.0007097774081759982,0.0002944045596652561,1.1475880940755208e-05,0.04454068077935113
4651,900,0.0001575483216179742,0.0016377038425869413,0.00010653336842854817,0.00966574748357137,0.009430527687072754,0.009433792697058784,0.051785210768381745,0.013349738385942247,0.0005025797420077854,0.0011194083425733778,0.00048286385006374784,1.593430836995443e-05,0.09768758879767522
5813,1391,0.00028490198069605334,0.003004213859295023,0.00016353048127273033,0.0510537131079312,0.04995439792501515,0.05002569330149683,0.22640626183871565,0.0687350897953428,0.0007681024485620959,0.0017526560816271551,0.0008489263468775256,2.3093716851596174e-05,0.4530205808836838
7266,1964,0.0004720998846966288,0.004691134328427522,0.0002581658570662789,0.10916827035986858,0.10672115242999533,0.10677364598149838,0.47034117449884827,0.13544017335642938,0.001186370849609375,0.002786543058312457,0.001402834187383237,3.4353007440981656e-05,0.9392759177995764
9082,3943,0.0008143848843044705,0.01012934578789605,0.0004209015104505751,0.5790215730667114,0.5673129955927532,0.5681564013163248,2.4838943348990545,0.7051514254675971,0.0018720759285820855,0.004585146903991699,0.0025928947660658094,5.291567908393012e-05,4.9240043958028155
11352,4812,0.0013052736009870256,0.015365617615836007,0.0006868158067975726,1.5531818526131767,1.5207243306296214,1.521526779447283,6.612901891980853,1.8598820141383579,0.0029079743794032504,0.007667473384312221,0.004533461162022182,8.14199447631836e-05,13.100764904703412
14190,7682,0.0020293322476473722,0.03014651211825284,0.001164176247336648,5.291677756742998,5.164917360652577,5.146587393500588,25.52951116995378,5.987074635245583,0.0045147592371160335,0.01250147819519043,0.00817539475180886,0.00013184547424316406,47.17843181436712
17737,10352,0.0034808582729763454,0.06938261455959743,0.0021182960934109157,16.17190482881334,15.569833490583632,15.520154370201958,84.23816635873582,18.618252754211426,0.006828202141655816,0.01937307251824273,0.014457278781467015,0.00021425882975260418,150.2341663837433
22171,21142,0.005620786121913365,0.1576730183192662,0.0038149016244070867,47.43312525749206,46.63179983411517,46.022214787346975,269.29146177428106,59.584687539509375,0.2746649129050118,0.0722623211996896,0.07988807133265904,0.005471399852207728,469.5626846040998
27713,31011,0.007229129473368326,0.32597712675730384,0.00525657335917155,137.74570099512735,136.25578713417053,136.2201290925344,718.9291816155117,168.03397814432782,0.013635516166687013,0.04545736312866211,0.050708770751953125,0.0008847713470458983,1297.633926232656
