num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
500,13,1.4439137024286933e-06,1.572081323206072e-05,1.2583986541928623e-06,4.422735180375139e-07,1.8622042864737426e-07,1.347276586047291e-07,1.2231296336157083e-06,7.237203022432044e-07,4.431199745313656e-06,1.1792549720177283e-05,3.914861284064118e-06,1.3098914242355075e-06,4.2581699303621376e-05
625,11,2.3886009498878763e-06,2.5243229336208765e-05,2.076007701732494e-06,7.179048326280382e-07,3.735224405924479e-07,2.9581564444082754e-07,2.5969964486581307e-06,1.2874603271484374e-06,7.97377692328559e-06,1.9210356253164786e-05,5.812998171205873e-06,1.4128508391203705e-06,6.938951986807363e-05
781,22,3.572967317369249e-06,3.899357937000416e-05,3.054186149879738e-06,9.713349518952545e-07,5.13262218899197e-07,4.2054388258192273e-07,3.7871025226734303e-06,2.006689707438151e-06,1.3539084681758174e-05,2.9478912000302912e-05,8.453925450642904e-06,1.8146302964952258e-06,0.00010660621854994031
976,35,5.628332237287753e-06,6.129011253401034e-05,4.696708194093208e-06,1.7212994525887375e-06,1.0721945349191654e-06,9.426491798003975e-07,7.276590159862717e-06,3.704445899566474e-06,2.2386539878183705e-05,4.60864491545396e-05,1.3441019664610054e-05,2.3318163921378254e-06,0.00017057815728159997
1220,53,8.838764135388361e-06,9.616561557935631e-05,7.41689101509426e-06,3.1426332998966826e-06,2.2597934888756796e-06,2.062839010487432e-06,1.5160311823305875e-05,7.480814837027287e-06,3.610313802525617e-05,7.2605368019878e-05,2.095664756885473e-05,3.0355177063872847e-06,0.0002752283345098081
1525,105,1.3632817311329883e-05,0.00015212608887268616,1.1261519011076505e-05,2.471605936686198e-05,2.277004826176274e-05,2.238986728427646e-05,0.0001318282909221477,4.962113526490358e-05,5.520141876495637e-05,0.00011233166531399565,3.5163518544789907e-05,3.7459639815596845e-06,0.0006347883929003468
1906,128,2.1574172106656164e-05,0.0002442977645180442,1.7930160869251598e-05,2.500143918124112e-05,2.271478826349432e-05,2.2072683681141246e-05,0.00011977824297818272,4.59389253096147e-05,8.502602577209471e-05,0.00017710436474193227,5.771626125682484e-05,4.798173904418945e-06,0.0008439530025828968
2382,256,3.328457684584067e-05,0.0003893341816646952,2.8059516154544453e-05,0.00024342201125453894,0.0002361317755470813,0.00023531913757324216,0.0011803331509442397,0.00044543306592484595,0.0001300690879284496,0.00027559508740062445,9.395035219864105e-05,6.208957081109706e-06,0.0032971409005178535
2977,354,5.403586796351841e-05,0.0006201948438371931,4.416278430393764e-05,0.00026852318218776157,0.00025952713830130445,0.00025812642914908277,0.0013205281325748988,0.0003409896578107561,0.0002007058688572475,0.00044146605900355747,0.00015863776206970215,8.212668555123467e-06,0.003975110394614083
3721,452,9.340180291069879e-05,0.0010815514458550346,6.850560506184895e-05,0.00464108255174425,0.004570436477661133,0.004573848512437609,0.022183820936414928,0.007548883226182726,0.00031331910027398004,0.0007004472944471571,0.0002836969163682726,1.1062622070312501e-05,0.046070056491427945
4651,868,0.00016109810935126408,0.0016612344317966038,0.0001076393657260471,0.006891621483696831,0.006781352890862359,0.006775809658898248,0.0319808456632826,0.009456276893615723,0.00048344665103488497,0.0011029707060919867,0.00045123365190294053,1.5060106913248699e-05,0.06586858961317275
5813,1423,0.00028035558503249595,0.0027087228051547348,0.00016455814756196122,0.027744885148673223,0.027203954499343347,0.027218826885881092,0.12754373714841644,0.03668754676292682,0.0007309913635253906,0.0017445909565892714,0.000772879041474441,2.226336248989763e-05,0.2528233117070691
7266,2077,0.000475261522376019,0.004472691079844599,0.00025011145550271743,0.11924448220626167,0.11700782568558403,0.11921927203302798,0.5195192668748938,0.1461830761121667,0.0011445646700651748,0.0026626379593558936,0.001321720040362814,3.236273060674253e-05,1.031533272370048
9082,3050,0.0008008480072021484,0.009145988358391656,0.00041266282399495446,0.47744901974995935,0.4704451693428887,0.47595208221011687,2.0606681505839033,0.5853963163163927,0.0018232663472493489,0.004523873329162598,0.0025138192706637913,5.160437689887153e-05,4.0891828007168245
11352,5243,0.0012826238359723774,0.01647554125104632,0.0007059403828212193,1.7135605130876814,1.6873236213411604,1.6873676776885986,7.485798375947136,2.077280981200082,0.0028861590794154574,0.007650971412658691,0.004535828317914691,8.27312469482422e-05,14.684950964791433
14190,7866,0.002066980708729137,0.03188974207097833,0.0011753602461381392,5.3184988715431905,5.289973497390747,5.385411175814542,26.126831054687496,6.138799212195657,0.004540118304165927,0.01256429065357555,0.008258451115001331,0.00013271245089444247,48.32014146718112
17737,12570,0.003388802210489909,0.055945634841918945,0.002022213406032986,16.289866897794937,15.77865884039137,15.785219192504883,84.86194687419469,18.209974129994713,0.006867806116739909,0.01961639192369249,0.014618820614284938,0.00021886825561523438,151.0283444722494
22171,20118,0.005039896283830916,0.16548027311052593,0.0035222939082554406,48.4948513507843,48.046607051576885,47.80840911184039,272.8490807328905,61.8023624420166,0.009763819830758231,0.03132694108145578,0.02886601856776646,0.0005872930799211774,479.2458972249712
27713,29230,0.007348219553629557,0.3314047257105509,0.005333542823791503,133.7472476561864,132.7622213761012,131.77633941173553,710.605589389801,166.13396096229553,0.01335469881693522,0.0445634126663208,0.04990231990814208,0.0008314847946166992,1275.478097200394
34641,35168,0.013053536415100098,0.7343229651451111,0.009821832180023193,458.93641716241837,455.61748641729355,456.63240748643875,2233.0796949863434,534.087925195694,0.022789359092712402,0.08089059591293335,0.10647708177566528,0.0013865828514099121,4139.322673201561
