num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity
500,13,1.46,2.2,1.2000000000000002,1.0,1.0
625,19,1.2666666666666666,1.7999999999999998,1.0,1.0,1.0
781,23,1.644242424242424,2.6,1.4000000000000001,1.0,1.0
976,42,1.717142857142857,2.2,1.2,1.0,1.0
1220,60,1.732222222222222,2.5999999999999996,1.4,1.0,1.0
1525,81,2.4561020588606794,4.8,2.5999999999999996,1.0,1.0
1906,149,2.4205489361278834,4.6000000000000005,2.6000000000000005,1.0,1.0
2382,216,3.1919047495556447,7.199999999999999,3.8,1.0,1.0
2977,365,4.550340364173758,11.799999999999999,6.199999999999999,1.0,1.0
3721,642,4.910628431096846,14.4,7.6,1.0,1.0
4651,842,5.883388749761334,18.599999999999998,9.6,1.0,1.0
5813,1412,7.422284907981339,22.2,11.4,1.0,1.0
7266,2084,6.6171393859779455,21.199999999999996,11.4,1.0,1.0
9082,2979,6.300619751659145,22.2,11.599999999999998,1.0,1.0
11352,4588,6.917097607699277,28.0,14.400000000000002,1.0,1.0
14190,9479,7.647532549081331,38.0,19.200000000000003,1.0,1.0
17737,13043,7.2226599320941105,33.8,17.0,1.0,1.0
22171,21833,7.140089345694831,33.4,17.0,1.0,1.0
27713,29373,7.207490629693827,35.0,17.8,1.0,1.0
34641,44303,7.08973496328972,34.75,17.75,1.0,1.0
