num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
500,1,0.0001049041748046875,0.00042311350504557293,9.584426879882812e-05,3.0438105265299477e-05,1.049041748046875e-05,7.232030232747396e-06,0.00012294451395670572,6.111462910970052e-05,0.0004812081654866536,0.0008360544840494792,0.00028443336486816406,9.791056315104166e-05,0.002555688222249349
625,5,0.00014575322469075522,0.0005294481913248698,0.00013065338134765625,3.751118977864583e-05,1.3669331868489582e-05,9.934107462565105e-06,0.00014980634053548175,7.724761962890625e-05,0.0006799697875976562,0.0010842482248942058,0.00028967857360839844,8.479754130045573e-05,0.003232717514038086
781,6,0.00017881393432617188,0.0006581942240397135,0.0001575946807861328,3.759066263834636e-05,1.3987223307291668e-05,1.041094462076823e-05,0.00015171368916829428,7.724761962890625e-05,0.0008711814880371094,0.0013616879781087239,0.00034364064534505207,8.96453857421875e-05,0.003951708475748697
976,6,0.00023039182027180988,0.0008618036905924478,0.0001957416534423828,3.528594970703125e-05,1.3748804728190105e-05,1.041094462076823e-05,0.00014853477478027344,7.74065653483073e-05,0.0010921955108642578,0.0017022291819254558,0.0004123846689860027,9.520848592122397e-05,0.004875342051188151
1220,13,0.000287930170694987,0.0010704994201660156,0.00024811426798502606,4.490216573079427e-05,1.8437703450520832e-05,1.4464060465494793e-05,0.0001830259958902995,9.568532307942708e-05,0.0013355414072672525,0.002127567927042643,0.0005304813385009766,0.00010291735331217448,0.006059567133585612
1525,29,0.00036708513895670575,0.00140380859375,0.0003123283386230469,4.3392181396484375e-05,1.827875773111979e-05,1.4781951904296875e-05,0.00019502639770507812,0.00010148684183756511,0.00161592165629069,0.0026618639628092446,0.0006972948710123698,0.00011428197224934897,0.007545550664265949
1906,32,0.00047763188680013024,0.0017906030019124346,0.00039696693420410156,4.76837158203125e-05,1.9629796346028645e-05,1.5894571940104168e-05,0.00021211306254069012,0.0001099109649658203,0.0019959608713785806,0.003353118896484375,0.0009267330169677734,0.00012445449829101562,0.009470701217651367
2382,42,0.0006062984466552734,0.0023413499196370444,0.0004994869232177734,5.896886189778647e-05,2.7815500895182293e-05,2.2808710734049477e-05,0.00025995572408040363,0.0001324017842610677,0.0024788379669189453,0.004236539204915364,0.0012368361155192058,0.0001423358917236328,0.012043635050455729
2977,87,0.0006460348765055338,0.0029250780741373696,0.0005625089009602865,6.310145060221353e-05,2.8133392333984375e-05,2.6146570841471352e-05,0.00027434031168619793,0.0001392364501953125,0.0030498504638671875,0.005036513010660808,0.0016009807586669922,0.00016172726949055988,0.014513651529947918
3721,125,0.0008694330851236979,0.0037253697713216143,0.0006760756174723307,7.557868957519531e-05,3.790855407714843e-05,3.298123677571615e-05,0.00033473968505859375,0.00017587343851725262,0.0038077831268310547,0.006410678227742512,0.002073526382446289,0.0002538363138834635,0.01847378412882487
4651,199,0.0012296040852864583,0.005153338114420573,0.0009739398956298828,7.875760396321614e-05,3.7670135498046875e-05,3.329912821451823e-05,0.00037964185078938806,0.00019359588623046875,0.004679441452026367,0.008497556050618488,0.0026926199595133466,0.0002639293670654297,0.024213393529256184
5813,310,0.001487096150716146,0.0067819754282633475,0.0012110074361165364,0.00010903676350911458,6.500879923502603e-05,5.944569905598958e-05,0.0005471706390380859,0.00028912226359049476,0.005821545918782552,0.010706583658854166,0.003487507502237956,0.0003177324930826823,0.0308832327524821
7266,551,0.001869042714436849,0.008847951889038086,0.0015218257904052734,0.00020623207092285154,0.00015171368916829425,0.00014527638753255207,0.001016696294148763,0.0005261103312174479,0.0072231292724609375,0.013920942942301433,0.004494269688924153,0.0004560152689615885,0.040379206339518234
9082,816,0.0023550987243652344,0.012070337931315105,0.0019218126932779946,0.0002911090850830078,0.00023357073465983072,0.00022021929423014322,0.001463174819946289,0.0007599194844563802,0.009145418802897137,0.018621206283569336,0.0059320926666259766,0.0003635088602701823,0.05337746938069662
11352,1289,0.0030091603597005214,0.01666887601216634,0.0023974577585856123,0.0010429223378499348,0.0009289582570393881,0.0009198983510335287,0.0053369204203287755,0.0025575955708821616,0.011915286382039387,0.024893601735432945,0.007782936096191406,0.0004341602325439453,0.07788777351379395
14190,2071,0.004032532374064127,0.024330457051595054,0.0031099319458007812,0.00501394271850586,0.0047523975372314444,0.004750649134318034,0.023025989532470707,0.010841687520345051,0.01567236582438151,0.0322422981262207,0.010568857192993164,0.0005217393239339193,0.13886284828186038
17737,3298,0.005400737126668294,0.03455400466918945,0.004085461298624674,0.008225282033284504,0.007853190104166668,0.007850329081217447,0.03972776730855306,0.018449783325195312,0.020196994145711262,0.040887037913004555,0.01450506846110026,0.0006330013275146484,0.20236865679423013
22171,5088,0.006953159968058269,0.05171600977579753,0.005467335383097331,0.021356821060180664,0.02068305015563965,0.02068320910135905,0.10459240277608235,0.0488135814666748,0.025599161783854164,0.05177450180053711,0.02106467882792155,0.0007811387379964194,0.3794850508371989
27713,7769,0.00915042559305827,0.07969109217325847,0.007161935170491537,1.389009157816569,1.3608937263488772,1.3625057538350425,6.609946171442668,2.970659414927165,0.03222552935282389,0.0646055539449056,0.02969813346862793,0.0009309450785319011,13.916477839152021
34641,12114,0.011078357696533203,0.12024068832397461,0.00867001215616862,15.487257083257038,15.157567103703816,15.097203095753986,78.40465863545735,29.51069402694702,0.03936942418416341,0.07735689481099446,0.04158790906270345,0.0011399586995442708,153.95682319005334
43301,19797,0.014488538106282554,0.19685649871826172,0.011617581049601238,79.12738696734111,78.14380065600078,78.11489272117615,381.2685216267904,152.30518126487732,0.04964947700500488,0.10175530115763348,0.06242410341898599,0.001953522364298503,769.3985282580057
54126,30477,0.01797143618265788,0.3178823788960775,0.014959494272867836,286.17639176050824,281.25506711006165,284.06942447026574,1166.0778121948242,513.778641541799,0.05951515833536783,0.12290525436401367,0.08680144945780437,0.0037523905436197915,2531.9811246395107
