num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
500,626,2.2856,0.13588302659509396,0.002290180360721443,3.830711312597472,10.0,5.0,1.0,1.0,50.322399999999995,24018.4,0.600738623441667,0.6787289685469606
550,576,2.474181818181818,0.13390174716579742,0.0022533532041728766,4.070044566655098,10.0,5.4,1.0,1.0,51.286545454545454,26846.8,0.6307985169415653,0.7054630855795492
605,686,2.5467768595041322,0.14764931077223759,0.0021082589896557384,4.940508255263573,12.0,5.800000000000001,1.0,1.0,49.766942148760336,28568.199999999997,0.647383669663581,0.7119727396371864
665,1015,2.837894736842105,0.1461589532106637,0.0021369689283449586,4.9485249878356266,12.8,6.0,1.0,1.0,48.833684210526314,30587.2,0.6425668387855453,0.7111971824412182
731,1453,3.0270861833105336,0.1557877769306357,0.0020733467008976257,4.685040838721709,12.000000000000002,5.4,1.0,1.0,48.71381668946648,33397.0,0.6648521000596846,0.7243453273099035
804,1387,3.8582089552238807,0.1936024837844053,0.002402371703128195,5.162431290008428,13.399999999999999,6.800000000000001,1.0,1.0,52.518159203980105,39122.6,0.6048387058863679,0.6736104472812132
884,1472,3.914932126696833,0.1797088793333374,0.0022168358588317283,5.219894703056647,15.0,7.6,1.0,1.0,50.130090497737555,40854.2,0.6171686011836832,0.6934394720214088
972,2031,4.295061728395061,0.19227728082753276,0.0022116692731179513,5.455543155840521,15.8,7.599999999999999,1.0,1.0,49.65576131687243,44090.600000000006,0.6239780570611408,0.7047450450426298
1069,2958,4.7509822263797945,0.192906816793894,0.0022242426153463455,5.06567944675531,14.2,7.6,1.0,1.0,50.20935453695043,48595.0,0.6389471282052694,0.705576915051592
1175,3076,4.9256170212765955,0.19339564152445674,0.002097792598499402,5.303039580030437,13.799999999999999,7.6,1.0,1.0,49.20187234042553,52024.6,0.6262261705596522,0.6971657298339208
