num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
500,1681,7.003,0.2672173768397217,0.007017034068136273,2.2541099422709636,5.75,2.5,1.0,1.0,31.9035,12450.25,0.04087706311112442,0.23215627159830216
550,2397,7.621818181818181,0.2580490888971266,0.006941546613677761,2.1478413352028918,5.25,2.5,1.0,1.0,31.72,13254.0,0.04487436448407367,0.23642014197174782
605,3392,8.186225895316806,0.2491845793915154,0.006776677065659606,2.97495540613475,8.0,4.666666666666667,1.0,1.0,31.21212121212121,13930.666666666668,0.04435564165664954,0.2341674091402603
665,3124,9.213032581453634,0.2878612443783607,0.0069375245342271335,2.98834145764106,8.666666666666668,5.0,1.0,1.0,31.732832080200502,14975.666666666664,0.04616645442338592,0.23706473690325153
731,3590,10.192430460556315,0.29250852136395833,0.006981116753805696,2.977070245316213,7.666666666666668,4.333333333333333,1.0,1.0,31.830825353397174,15817.666666666668,0.048959160139706276,0.24090910960656242
804,4764,11.361940298507463,0.3025834175476776,0.007074682626716976,4.272415689835171,11.0,5.5,1.0,1.0,32.123134328358205,16692.0,0.03881124216439463,0.23559676295621415
884,5371,12.411764705882351,0.3340179876148829,0.00702817933515422,4.579631189415928,11.5,5.0,1.0,1.0,31.809954751131222,17148.0,0.03332313058401554,0.22465033456968064
972,6393,13.333333333333332,0.3092011125819788,0.006865774116031583,3.2229315587325296,8.5,4.0,1.0,1.0,31.470679012345677,17629.5,0.05019815446327031,0.24144244822365601
1069,7787,15.159962581852199,0.33049736622273135,0.0070973607592941,4.859748126870543,14.5,9.0,1.0,1.0,32.03086997193639,18035.0,0.04294678242695797,0.233795867044634
1175,9848,16.76255319148936,0.3716432243598309,0.007139077168436696,3.597837837837838,10.0,4.0,1.0,1.0,31.953191489361704,17849.0,0.04955551372417498,0.24167343623070675
1292,12172,18.842105263157894,0.36106029623945574,0.007297484610053406,3.0870327993897786,8.0,6.0,1.0,1.0,32.35681114551084,17461.0,0.04991218154382398,0.24416694051922444
1421,14881,20.944405348346233,0.3838355844187159,0.007374790615614872,4.910113290964355,12.0,6.0,1.0,1.0,32.65869106263195,16646.0,0.022216106277344688,0.2195416974665681
1563,18100,23.160588611644275,0.36206068636041494,0.007413760759169102,2.7040372670807455,8.0,4.0,1.0,1.0,32.767114523352525,15015.0,0.049863155088499575,0.23834254143646408
1719,18737,21.799883653286795,0.35935896706425474,0.006344552867662047,6.403310052146423,19.0,9.0,1.0,1.0,30.291448516579408,14597.0,0.03722605844395041,0.2260767465442707
1890,24238,25.64867724867725,0.3743123461921829,0.006788956391920923,6.043775736458663,19.0,9.0,1.0,1.0,31.28306878306878,10649.0,0.03819026354634751,0.2285667134252001
2079,30115,28.97065897065897,0.3752428019255933,0.006970803409686951,5.917263973586939,18.0,10.0,1.0,1.0,31.703703703703702,5682.0,0.040350283588064126,0.22862360949692845
