num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
500,95,0.624,0.007874285714285714,0.000625250501002004,2.2396364987669335,3.8000000000000003,2.0,1.0,1.0,2.5848,980.4,0.917894816236698,0.9362638082419726
550,78,0.6821818181818182,0.007478787878787878,0.0006212949163768837,2.925113047871668,5.6000000000000005,3.1999999999999997,1.0,1.0,2.544363636363636,1024.2,0.9349928515675534,0.9480085563418896
605,105,0.7576859504132232,0.008996064541519088,0.0006272234688851184,2.8360931821801385,5.799999999999999,3.2,1.0,1.0,2.549090909090909,1083.8,0.9131844150566147,0.9319740412979352
665,130,0.7711278195488722,0.007319011815252417,0.0005806685388169219,2.5911104837191794,4.6,2.6,1.0,1.0,2.512781954887218,1158.2,0.9340236866847541,0.9479694110578046
731,154,0.8842681258549931,0.010501927413152121,0.0006056630999006803,2.6361219864725305,5.4,2.8000000000000003,1.0,1.0,2.5701778385772913,1232.3999999999999,0.9335976862838812,0.9472124196455081
804,184,0.9900497512437811,0.016740701255626628,0.0006164693345229023,3.64124866976056,8.0,4.6,1.0,1.0,2.5313432835820895,1239.2,0.9253979543131508,0.9403241268589003
884,210,0.9920814479638009,0.01123522765515683,0.0005617675243283131,3.170778463573673,6.5,3.5,1.0,1.0,2.475113122171946,1311.0,0.9294758142642299,0.9431040278471033
972,307,1.1450617283950617,0.017021587672084185,0.0005896301382054901,4.251593029396233,10.25,5.25,1.0,1.0,2.530349794238683,1346.5,0.9440126687542147,0.9549783572588543
1069,320,1.1799189273464297,0.01674540856018873,0.0005523965015666806,4.00346091489846,9.333333333333332,5.0,1.0,1.0,2.4923604614904895,1403.0,0.939874719856784,0.9512054668304668
1175,432,1.4377304964539006,0.024214557840829806,0.0006123213357980838,3.484744610847681,7.666666666666668,4.333333333333333,1.0,1.0,2.542695035460993,1298.3333333333333,0.9451411696719474,0.9554138590916124
1292,545,1.57172342621259,0.029748043321096873,0.0006087232479522038,5.3882751648664735,12.666666666666668,6.666666666666666,1.0,1.0,2.5281217750257996,1235.6666666666667,0.9322985639874325,0.94560964860254
1421,629,1.7072484166080226,0.027770096600613345,0.0006011438086647966,6.774200889546886,15.5,8.0,1.0,1.0,2.529556650246305,1168.5,0.9213354413210293,0.9364015506239519
1563,758,1.9091490722968651,0.0448251190964492,0.0006111232625790221,6.640928515928516,17.0,9.0,1.0,1.0,2.5486244401791427,999.5,0.9283344350648288,0.9421502160425039
1719,909,2.046538685282141,0.03282234860339629,0.0005956166138772238,6.173564121810369,15.5,8.0,1.0,1.0,2.530831878999418,832.5,0.9303479523210518,0.9437119006018249
1890,1075,2.1735449735449737,0.042363603517720706,0.0005753162979208505,7.810688620588925,20.0,10.5,1.0,1.0,2.4986772486772484,614.5,0.9310931342701965,0.9438026462693303
2079,1258,2.5204425204425203,0.05549142700876758,0.0006064587392787585,8.567202134211257,24.0,12.5,1.0,1.0,2.533910533910534,28.0,0.940455530392633,0.951683673826716
2286,1667,2.916885389326334,0.05616979737621621,0.0006382681377081694,7.638319421257652,21.0,11.0,1.0,1.0,2.6167979002624673,-686.0,0.9375151570712902,0.9502099580083984
2514,1793,2.852824184566428,0.054503680553113824,0.0005676132480235631,7.540250268370204,19.0,10.0,1.0,1.0,2.4582338902147973,-992.0,0.9299546253974774,0.9436698271054099
2765,2133,3.085714285714286,0.05128995500711275,0.000558197229687823,7.927303006173315,22.0,11.0,1.0,1.0,2.4524412296564195,-1751.0,0.9458644789474323,0.9559306141584623
3041,2680,3.5251561986188755,0.08017705550980304,0.0005797954274044203,7.5881315310133255,20.0,10.0,1.0,1.0,2.4863531732982573,-3159.0,0.9391808957986546,0.9503731343283582
3345,3268,3.9079222720478324,0.08214111558832514,0.0005843185215382525,8.769272867608407,29.0,15.0,1.0,1.0,2.496860986547085,-4720.0,0.9487739580360647,0.9583843329253366
3679,4123,4.482739874966024,0.10018574353446413,0.0006093991129643859,7.13566441743305,19.0,10.0,1.0,1.0,2.5498776841533024,-7111.0,0.9351002651870317,0.9473684210526315
4046,4834,4.7790410281759765,0.11319171350956439,0.0005907343668944346,7.6869458449802766,23.0,12.0,1.0,1.0,2.5116164112703907,-9174.0,0.9381297471759692,0.9497310715763343
