num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
500,35,0.28959999999999997,0.004666666666666666,0.0002901803607214429,1.6066666666666665,2.8,1.6,1.0,1.0,6.268,2989.2,0.565862953225079,0.5869474969474969
550,54,0.3287272727272727,0.004787878787878788,0.0002993873157807584,1.6133333333333333,2.8000000000000003,1.6,1.0,1.0,6.360363636363636,3317.3999999999996,0.6045371498070277,0.6248593202081574
605,56,0.3980165289256198,0.00590633608815427,0.0003294838815609436,2.0233333333333334,3.6000000000000005,2.0,1.0,1.0,6.387438016528926,3623.5999999999995,0.5930834870803281,0.6113415968943877
665,87,0.4463157894736842,0.00825062656641604,0.00033608116677235256,2.0280652680652684,3.8,2.0,1.0,1.0,6.633383458646616,4114.4,0.5696404855381576,0.5910196183959302
731,84,0.5023255813953489,0.010104879160966713,0.00034405861739407456,2.7660696035990155,5.8,3.2,1.0,1.0,6.460465116279071,4355.4,0.5675607166176129,0.5880454403983816
804,86,0.4985074626865672,0.005261194029850747,0.00031040315235776286,2.3104473304473303,4.2,2.4,1.0,1.0,6.491293532338309,4818.2,0.5292669534976995,0.5492247250937926
884,124,0.5176470588235295,0.003959276018099547,0.00029311837985477316,2.5235897435897434,5.0,2.6,1.0,1.0,6.3088235294117645,5119.400000000001,0.5432916401147196,0.559764446697501
972,183,0.6320987654320986,0.006882979845942808,0.0003254885506859417,2.5882584207128385,5.2,2.9999999999999996,1.0,1.0,6.421193415637861,5627.0,0.5281530198002604,0.5458538753803708
1069,172,0.6435921421889617,0.009626263976123657,0.00030130718267273486,3.338996863702746,7.199999999999999,3.8,1.0,1.0,6.2389148737137505,5981.400000000001,0.5546294028684701,0.5708929340298723
1175,224,0.8006808510638298,0.013512690808009957,0.000341005473195839,4.456373610124006,10.4,5.3999999999999995,1.0,1.0,6.536340425531915,6739.4,0.5594418977973477,0.5767270423841648
1292,269,0.8123839009287925,0.014957837999633666,0.0003146335789809421,4.141097824517179,9.2,4.8,1.0,1.0,6.364551083591332,7173.4,0.5352634389830633,0.5504742307785659
1421,367,0.94862772695285,0.020387456784360374,0.00033402384751860924,5.812587805789532,13.600000000000001,7.0,1.0,1.0,6.507952146375792,7899.8,0.5467012645638869,0.5620194874847864
