num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
500,2291,8.16,0.2124999819350325,0.008176352705410821,2.8914001608496056,7.4,3.8,1.0,1.0,84.1056,37972.8,0.02152546765377986,0.2328009790515923
550,2591,8.942545454545455,0.21721222970249682,0.008144394767345587,2.599076535852134,7.2,3.8000000000000003,1.0,1.0,83.82654545454545,41186.2,0.014871899928155352,0.21259929704115516
605,2732,9.732231404958679,0.2182401514706202,0.008056482951124733,2.9662740700144794,8.6,4.0,1.0,1.0,83.64694214876033,44718.399999999994,0.02371447329132187,0.23634607382895814
665,3310,9.508571428571429,0.21138996320219913,0.007160068846815836,2.983079638586954,8.2,4.2,1.0,1.0,79.13052631578947,46298.59999999999,0.017643072382424588,0.2205929087577107
731,3713,12.583310533515732,0.24509378386087055,0.00861870584487379,2.84722626860646,8.6,4.6,1.0,1.0,86.06730506155951,53716.8,0.01428479496224494,0.22478876731899522
804,4632,13.153233830845771,0.2431453525622383,0.008190058425184166,3.0937146092191647,9.6,5.0,1.0,1.0,84.18781094527363,57111.799999999996,0.010931975381422047,0.22333743355834976
884,6279,13.618099547511314,0.24733526701804182,0.007711268146948647,3.1989729153132367,9.6,5.0,1.0,1.0,81.76855203619908,60244.99999999999,0.014173002974243827,0.22410226259940397
972,6203,15.67201646090535,0.2508468704778443,0.008070039372247862,3.2023237988167272,10.0,5.6,1.0,1.0,83.70308641975309,66126.2,0.01652131904033157,0.22434045580995476
1069,8385,17.36576239476146,0.26602321522570493,0.008130038574326526,3.505745409790194,11.75,6.25,1.0,1.0,83.75841908325538,70973.75,0.01643106577684479,0.22686294002604399
1175,10932,18.792340425531915,0.2598750769897768,0.008003552140345791,3.602402214616265,11.75,6.25,1.0,1.0,83.23276595744682,75717.5,0.01631292634412823,0.22512852680397205
1292,13372,20.82701238390093,0.27326019310167693,0.0080662325266851,3.723838190786476,12.0,6.25,1.0,1.0,83.58920278637771,81088.75,0.017417485736490976,0.225923809916133
1421,13601,22.95847994370162,0.28304227548853056,0.00808397181116254,3.445900992708757,11.0,6.333333333333334,1.0,1.0,83.4879193056533,86012.33333333333,0.01612509831258751,0.2237701743879977
1563,18560,24.93580720835999,0.282985230120797,0.007982012550691418,3.912179602924474,13.333333333333332,7.333333333333334,1.0,1.0,83.44977607165707,91457.33333333334,0.0173585814284735,0.22527829559630547
1719,24278,27.671514446383554,0.2925343760523976,0.008053409326654121,4.096902813967059,18.0,8.666666666666666,1.0,1.0,83.51560985068838,95996.0,0.015802592014910778,0.22334270085307645
1890,26255,28.369312169312167,0.29466269525976263,0.007509082098812115,3.8170761095506047,13.5,7.5,1.0,1.0,80.79391534391533,99082.5,0.013813901764518886,0.22304829656634736
2079,38662,33.1019721019721,0.295100371615149,0.007964863354661237,3.9401988903803153,14.5,7.5,1.0,1.0,83.11712361712361,103981.5,0.016798297845008327,0.22236628028798855
2286,44998,36.94444444444444,0.30421902378647625,0.008084123510819352,4.013387275729908,15.5,9.0,1.0,1.0,83.85236220472441,107231.5,0.013601393972239174,0.22142273352628233
2514,53338,39.985680190930786,0.3079206835822512,0.007955766054701708,4.001292123228158,16.0,8.0,1.0,1.0,83.08552108194112,108353.0,0.016071832369425543,0.22496005283469372
2765,58866,42.579385171790236,0.3007859973467417,0.007702493699672619,4.128983035634144,13.0,8.0,1.0,1.0,81.77649186256781,108380.0,0.01944932436882443,0.22853599701015867
3041,70575,46.4156527458073,0.31252165163875034,0.0076341534121393585,3.9920553689710827,15.0,8.0,1.0,1.0,81.35383097665242,106247.0,0.019102903004795564,0.22132483173928444
3345,95655,57.19282511210762,0.3320058790237165,0.008551558778724226,4.251242290082113,19.0,8.0,1.0,1.0,86.13602391629297,96815.0,0.013898933977918946,0.22613559144843448
3679,109595,59.57868986137537,0.33044312974280254,0.008099332498827539,4.040201424081083,14.0,8.0,1.0,1.0,83.89263386789888,89451.0,0.012244332443390918,0.22121447146311418
4046,131175,64.8418190805734,0.32666899817553263,0.008015057982765562,3.970588995950699,16.0,7.0,1.0,1.0,83.43475037073652,75227.0,0.013341940553453176,0.2249895178197065
4450,166507,74.83460674157304,0.3381552246161771,0.008410272728879864,4.077569062576487,14.0,8.0,1.0,1.0,85.43797752808989,47185.0,0.01853627805325031,0.22401460599254086
4895,185821,75.92277834525025,0.33077258613581134,0.007756720304990831,4.070570734613817,13.0,7.0,1.0,1.0,82.05331971399387,30009.0,0.016462743520517718,0.2236560991491812
