num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
500,420,2.172,0.12575438554251117,0.0021763527054108217,4.21232675888369,11.0,5.8,1.0,1.0,49.6292,23728.6,0.6090897353814306,0.696931190256605
550,744,2.3556363636363638,0.13422412814657775,0.002145388309322735,4.2528061189850375,11.0,5.3999999999999995,1.0,1.0,50.779272727272726,26633.000000000004,0.5707301007968484,0.6547115062554395
605,811,2.594380165289256,0.13995224555969202,0.0021476656997427616,4.563943542697037,12.0,6.4,1.0,1.0,49.77917355371901,28546.8,0.639889028433039,0.7126535602805867
665,955,2.863759398496241,0.1512004537087123,0.0021564453301929523,5.576034127944733,15.2,7.6,1.0,1.0,49.394285714285715,30942.8,0.6325097847525373,0.7035457530681066
731,1110,2.995348837209302,0.16463667838257362,0.002051608792609111,5.313650001818619,15.0,7.0,1.0,1.0,48.50834473324214,33270.0,0.6616259709144289,0.7236145415764415
804,1300,3.817910447761194,0.17789069693441062,0.002377279232728016,5.2073177864125775,14.2,7.4,1.0,1.0,51.797512437810944,38575.6,0.6180316612491903,0.6952456640438844
884,1624,3.7936651583710406,0.17951984654671954,0.002148168266348268,5.679965739035572,16.4,8.2,1.0,1.0,49.210407239819006,40148.4,0.6403914646423351,0.7107555580379232
972,1866,4.081069958847737,0.18004755033170672,0.002101477836687815,5.400601378510373,15.0,7.6,1.0,1.0,48.93950617283951,43602.399999999994,0.6165916334637809,0.6904544347577515
1069,1993,4.5616463985032745,0.18615075178958634,0.002135602246490297,5.274898341244786,14.4,7.4,1.0,1.0,49.66903648269411,48219.799999999996,0.6390835884564757,0.7086904980539839
1175,2619,5.016851063829787,0.19837699659540103,0.002136648664322737,5.227082190541495,14.600000000000001,8.0,1.0,1.0,49.10331914893618,51801.6,0.6079751988078647,0.67977700049091
1292,3343,5.610526315789474,0.21516392868636408,0.0021729381548371315,4.851940535361463,14.600000000000001,7.4,1.0,1.0,49.85541795665635,57164.399999999994,0.645650849282746,0.7125189171130082
